Number_of_Travelers,Budget,Area_of_Interest,Warm,Transportation_Mode,Recommendation
19,45000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
2,200000,Lakeside,Moderate,Bikes,"Madu River, Balapitiya"
5,80000,Beach,Warm,Bikes,"Bentota Beach, Bentota"
21,25000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
6,100000,City,Moderate,Public Transport,"Kurunegala City, Kurunegala"
13,22000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
18,130000,Forest,Tropical,Bikes,"Dunhinda Falls, Badulla"
6,8000,City,Moderate,Rosa Bus,"Badulla City, Badulla"
4,160000,National Park,Warm,Van,"Kaudulla National Park, Polonnaruwa"
12,45000,Beach,Warm,Public Transport,"Jungle Beach, Unawatuna"
24,85000,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
1,19000,Beach,Warm,Bikes,"Hikkaduwa Beach, Hikkaduwa"
11,160000,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
3,160000,City,Moderate,Public Transport,"Ratnapura City, Ratnapura"
11,85000,Historical Site,Moderate,Rosa Bus,"Kuttam Pokuna, Anuradhapura"
17,180000,Mountains,Cool,Rosa Bus,"Diyatalawa, Badulla"
4,10500,Mountains,Cool,Car,"Kirigalpotta, Nuwara Eliya"
2,65000,Historical Site,Moderate,Van,"Mihintale, Mihintale"
14,16000,Mountains,Cool,Public Transport,"Little Adam's Peak, Ella"
23,160000,City,Moderate,Bikes,"Badulla City, Badulla"
19,180000,Desert,Hot,Bikes,"Delft Island, Jaffna"
18,28000,Historical Site,Moderate,Public Transport,"Dambulla Cave Temple, Dambulla"
18,48000,National Park,Warm,Bikes,"Wasgamuwa National Park, Wasgamuwa"
15,24000,National Park,Warm,Bikes,"Udawalawe National Park, Udawalawe"
24,44000,City,Moderate,Rosa Bus,"Negombo City, Negombo"
5,38000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
5,130000,Mountains,Cool,Public Transport,"Knuckles Mountain Range, Matale"
7,38000,Lakeside,Moderate,Bikes,"Parakrama Samudra, Polonnaruwa"
6,18000,Beach,Warm,Van,"Mount Lavinia Beach, Mount Lavinia"
1,6000,Mountains,Cool,Car,"Diyatalawa, Badulla"
14,16000,Mountains,Cool,Rosa Bus,"Lipton�s Seat, Haputale"
22,38000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
3,18000,Beach,Warm,Rosa Bus,"Passekudah Beach, Passekudah"
20,75000,City,Moderate,Bikes,"Kandy City, Kandy"
25,50000,Beach,Warm,Public Transport,"Arugam Bay, Ampara"
1,2800,Mountains,Cool,Public Transport,"Kirigalpotta, Nuwara Eliya"
25,44000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
2,4000,Historical Site,Moderate,Bikes,"Dambulla Cave Temple, Dambulla"
6,17000,Lakeside,Moderate,Van,"Beira Lake, Colombo"
10,12000,Forest,Tropical,Van,"Kanneliya Forest Reserve, Galle"
1,10500,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
2,9000,National Park,Warm,Public Transport,"Hikkaduwa National Park, Hikkaduwa"
2,3000,Forest,Tropical,Bikes,"Makandawa Forest Reserve, Kitulgala"
15,65000,Forest,Tropical,Rosa Bus,"Sinharaja Forest Reserve, Deniyaya"
13,190000,National Park,Warm,Public Transport,"Yala National Park, Yala"
1,35000,National Park,Warm,Public Transport,"Kaudulla National Park, Polonnaruwa"
11,110000,Mountains,Cool,Van,"Devon Falls, Nuwara Eliya"
24,30000,City,Moderate,Bikes,"Kurunegala City, Kurunegala"
4,200000,Beach,Warm,Van,"Negombo Beach, Negombo"
20,38000,Historical Site,Moderate,Bikes,"Thuparamaya, Anuradhapura"
23,30000,Mountains,Cool,Rosa Bus,"Ravana Falls, Ella"
14,40000,Mountains,Cool,Bikes,"Demodara Loop, Ella"
3,90000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
1,2800,Forest,Tropical,Bikes,"Makandawa Forest Reserve, Kitulgala"
1,50000,Lakeside,Moderate,Van,"Bolgoda Lake, Colombo"
12,16000,Lakeside,Moderate,Rosa Bus,"Madu River, Balapitiya"
15,38000,City,Moderate,Rosa Bus,"Colombo City, Colombo"
18,50000,Mountains,Cool,Bikes,"Hunas Falls, Kandy"
4,11000,City,Moderate,Public Transport,"Galle City, Galle"
9,100000,Mountains,Cool,Rosa Bus,"Demodara Loop, Ella"
6,9000,Lakeside,Moderate,Van,"Handapanagala Lake, Wellawaya"
8,19000,Beach,Warm,Public Transport,"Trincomalee Beach, Trincomalee"
1,2750,Lakeside,Moderate,Van,"Parakrama Samudra, Polonnaruwa"
2,45000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
10,60000,Lakeside,Moderate,Public Transport,"Sorabora Wewa, Mahiyanganaya"
20,90000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
5,12000,National Park,Warm,Bikes,"Udawalawe National Park, Udawalawe"
5,75000,Historical Site,Moderate,Bikes,"Thuparamaya, Anuradhapura"
17,90000,Mountains,Cool,Rosa Bus,"Lipton�s Seat, Haputale"
15,180000,Beach,Warm,Bikes,"Passekudah Beach, Passekudah"
5,85000,National Park,Warm,Van,"Gal Oya National Park, Ampara"
8,85000,Historical Site,Moderate,Public Transport,"Jetavanaramaya, Anuradhapura"
5,25000,Lakeside,Moderate,Car,"Madu River, Balapitiya"
11,44000,Mountains,Warm,Bikes,"Pidurangala, Sigiriya"
19,38000,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
15,170000,National Park,Cool,Public Transport,"Galway�s Land National Park, Nuwara Eliya"
2,13000,Beach,Warm,Car,"Rekawa Beach, Hambantota"
13,60000,Lakeside,Moderate,Bikes,"Beira Lake, Colombo"
11,24000,Mountains,Cool,Bikes,"Ella Rock, Ella"
15,200000,Mountains,Cool,Bikes,"Ravana Falls, Ella"
15,30000,Lakeside,Moderate,Public Transport,"Kandy Lake, Kandy"
14,140000,Lakeside,Moderate,Bikes,"Parakrama Samudra, Polonnaruwa"
9,180000,Historical Site,Moderate,Rosa Bus,"Galle Fort, Galle"
3,3500,Historical Site,Moderate,Car,"Manavari Temple, Chilaw"
5,180000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
2,180000,Lakeside,Moderate,Public Transport,"Kala Wewa, Anuradhapura"
2,60000,Historical Site,Moderate,Car,"Polonnaruwa, Polonnaruwa"
7,200000,City,Moderate,Van,"Matara City, Matara"
5,25000,Mountains,Cool,Bikes,"Kirigalpotta, Nuwara Eliya"
16,190000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
19,190000,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
12,25000,Lakeside,Moderate,Public Transport,"Madu River, Balapitiya"
12,25000,Beach,Warm,Public Transport,"Passekudah Beach, Passekudah"
6,90000,Historical Site,Moderate,Rosa Bus,"Dambulla Cave Temple, Dambulla"
1,2750,Historical Site,Moderate,Public Transport,"Mihintale, Mihintale"
2,10500,National Park,Cool,Public Transport,"Galway�s Land National Park, Nuwara Eliya"
22,60000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
2,200000,Historical Site,Cool,Rosa Bus,"Seetha Amman Temple, Nuwara Eliya"
12,35000,City,Hot,Rosa Bus,"Jaffna City, Jaffna"
20,65000,Desert,Hot,Bikes,"Delft Island, Jaffna"
16,22000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
2,2800,Forest,Tropical,Van,"Badulla Forest, Badulla"
17,80000,Forest,Tropical,Rosa Bus,"Makandawa Forest Reserve, Kitulgala"
5,140000,Forest,Tropical,Public Transport,"Meemure, Kandy"
3,100000,Forest,Tropical,Rosa Bus,"Kanneliya Forest Reserve, Galle"
10,110000,Mountains,Warm,Public Transport,"Pidurangala, Sigiriya"
6,200000,Mountains,Cool,Bikes,"Horton Plains National Park, Nuwara Eliya"
23,70000,National Park,Warm,Rosa Bus,"Gal Oya National Park, Ampara"
3,180000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
16,150000,Mountains,Cool,Public Transport,"Knuckles Mountain Range, Kandy"
21,48000,Forest,Tropical,Rosa Bus,"Kanneliya Forest Reserve, Galle"
9,60000,Lakeside,Moderate,Rosa Bus,"Madu River, Balapitiya"
18,200000,Mountains,Cool,Public Transport,"Ravana Falls, Ella"
13,40000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
1,16000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
12,24000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
4,58000,Forest,Tropical,Rosa Bus,"Bopath Ella, Kuruwita"
18,40000,National Park,Warm,Public Transport,"Kaudulla National Park, Polonnaruwa"
1,2000,Mountains,Cool,Van,"Knuckles Mountain Range, Kandy"
7,180000,City,Moderate,Van,"Ratnapura City, Ratnapura"
3,10000,National Park,Warm,Car,"Hikkaduwa National Park, Hikkaduwa"
2,13000,Historical Site,Moderate,Public Transport,"Anuradhapura, Anuradhapura"
14,160000,Beach,Warm,Bikes,"Nilaveli Beach, Trincomalee"
1,100000,Desert,Hot,Van,"Delft Island, Jaffna"
17,22000,Historical Site,Moderate,Rosa Bus,"Aluvihare Rock Temple, Matale"
4,12000,Forest,Tropical,Public Transport,"Badulla Forest, Badulla"
17,17000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
14,45000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
2,130000,City,Moderate,Rosa Bus,"Colombo City, Colombo"
5,85000,Historical Site,Moderate,Car,"Galle Fort, Galle"
19,180000,National Park,Warm,Bikes,"Yala National Park, Yala"
15,17000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
17,200000,National Park,Warm,Public Transport,"Gal Oya National Park, Ampara"
1,200000,Historical Site,Moderate,Bikes,"Jetavanaramaya, Anuradhapura"
8,18000,Mountains,Cool,Van,"Knuckles Mountain Range, Kandy"
4,13000,Mountains,Cool,Public Transport,"Demodara Loop, Ella"
8,22000,Beach,Warm,Van,"Negombo Beach, Negombo"
11,90000,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
21,85000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
4,70000,Historical Site,Moderate,Van,"Manavari Temple, Chilaw"
20,38000,Lakeside,Moderate,Bikes,"Madu River, Balapitiya"
2,2900,Lakeside,Moderate,Van,"Madu River, Balapitiya"
6,55000,Mountains,Cool,Bikes,"Knuckles Mountain Range, Kandy"
4,9000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
8,58000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
16,190000,City,Moderate,Rosa Bus,"Negombo City, Negombo"
10,16000,Historical Site,Moderate,Van,"Kuttam Pokuna, Anuradhapura"
16,60000,Historical Site,Moderate,Rosa Bus,"Mihintale, Mihintale"
19,80000,Lakeside,Moderate,Public Transport,"Victoria Reservoir, Kandy"
20,45000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
1,200000,Desert,Hot,Bikes,"Delft Island, Jaffna"
6,25000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
2,75000,Beach,Warm,Van,"Negombo Beach, Negombo"
5,50000,Desert,Hot,Bikes,"Delft Island, Jaffna"
18,140000,Beach,Warm,Bikes,"Trincomalee Beach, Trincomalee"
24,180000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
11,15000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
10,40000,National Park,Warm,Van,"Kaudulla National Park, Polonnaruwa"
25,33000,Forest,Tropical,Rosa Bus,"Makandawa Forest Reserve, Kitulgala"
6,80000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
2,2600,Forest,Tropical,Public Transport,"Makandawa Forest Reserve, Kitulgala"
2,58000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
14,30000,Mountains,Cool,Bikes,"Nine Arches Bridge, Ella"
4,100000,Beach,Warm,Rosa Bus,"Polhena Beach, Matara"
20,33000,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
24,80000,Forest,Tropical,Rosa Bus,"Kanneliya Forest Reserve, Galle"
9,50000,Desert,Hot,Van,"Delft Island, Jaffna"
17,70000,City,Moderate,Public Transport,"Kandy City, Kandy"
11,180000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
22,58000,Beach,Warm,Public Transport,"Rekawa Beach, Hambantota"
8,14000,Desert,Hot,Van,"Delft Island, Jaffna"
7,68000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
18,45000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
1,110000,City,Hot,Rosa Bus,"Jaffna City, Jaffna"
5,120000,Beach,Warm,Car,"Jungle Beach, Unawatuna"
14,33000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
8,10000,Forest,Tropical,Bikes,"Badulla Forest, Badulla"
25,170000,Beach,Warm,Public Transport,"Arugam Bay, Ampara"
2,2200,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
15,130000,Historical Site,Moderate,Public Transport,"Aluvihare Rock Temple, Matale"
21,85000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
11,22000,Forest,Tropical,Van,"Kanneliya Forest Reserve, Galle"
22,150000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
14,35000,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
20,100000,Beach,Warm,Rosa Bus,"Jungle Beach, Unawatuna"
15,22000,Beach,Warm,Bikes,"Dickwella Beach, Dickwella"
14,80000,City,Moderate,Rosa Bus,"Badulla City, Badulla"
5,140000,Forest,Tropical,Car,"Makandawa Forest Reserve, Kitulgala"
12,58000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
21,25000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
10,14000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
9,28000,City,Moderate,Van,"Colombo City, Colombo"
6,180000,Mountains,Cool,Public Transport,"Hunas Falls, Kandy"
14,48000,National Park,Cool,Public Transport,"Galway�s Land National Park, Nuwara Eliya"
3,38000,Forest,Tropical,Rosa Bus,"Makandawa Forest Reserve, Kitulgala"
14,65000,Forest,Tropical,Bikes,"Sinharaja Forest Reserve, Deniyaya"
14,22000,City,Warm,Public Transport,"Trincomalee City, Trincomalee"
15,18000,Mountains,Cool,Rosa Bus,"Adam's Peak, Hatton"
4,33000,Lakeside,Moderate,Car,"Handapanagala Lake, Wellawaya"
19,35000,Mountains,Cool,Public Transport,"Knuckles Mountain Range, Kandy"
14,44000,Beach,Warm,Rosa Bus,"Hikkaduwa Beach, Hikkaduwa"
22,25000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
6,22000,Beach,Warm,Van,"Passekudah Beach, Passekudah"
22,150000,Historical Site,Cool,Bikes,"Seetha Amman Temple, Nuwara Eliya"
4,50000,Beach,Warm,Rosa Bus,"Polhena Beach, Matara"
14,17000,Historical Site,Moderate,Rosa Bus,"Aluvihare Rock Temple, Matale"
24,150000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
19,160000,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
17,35000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
16,130000,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
6,100000,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
23,55000,National Park,Warm,Public Transport,"Kaudulla National Park, Polonnaruwa"
24,58000,City,Moderate,Bikes,"Negombo City, Negombo"
4,50000,Desert,Hot,Van,"Delft Island, Jaffna"
21,35000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
12,190000,Mountains,Warm,Rosa Bus,"Ritigala, Ritigala"
4,24000,Lakeside,Moderate,Public Transport,"Sorabora Wewa, Mahiyanganaya"
11,19000,City,Moderate,Rosa Bus,"Galle City, Galle"
2,3500,Lakeside,Moderate,Van,"Madu River, Balapitiya"
18,44000,Mountains,Cool,Public Transport,"Ella Rock, Ella"
5,15000,Lakeside,Moderate,Rosa Bus,"Kala Wewa, Anuradhapura"
21,24000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
20,28000,Forest,Tropical,Bikes,"Kanneliya Forest Reserve, Galle"
10,140000,Mountains,Cool,Rosa Bus,"Adam's Peak, Hatton"
2,7500,Historical Site,Moderate,Public Transport,"Dambulla Cave Temple, Dambulla"
7,10000,Mountains,Cool,Bikes,"Knuckles Mountain Range, Matale"
7,20000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
13,19000,City,Warm,Public Transport,"Trincomalee City, Trincomalee"
11,80000,Beach,Warm,Rosa Bus,"Unawatuna Beach, Galle"
3,150000,Lakeside,Moderate,Bikes,"Sorabora Wewa, Mahiyanganaya"
13,180000,Historical Site,Moderate,Bikes,"Sigiriya Rock Fortress, Sigiriya"
15,180000,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Matale"
1,33000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
5,65000,Historical Site,Moderate,Van,"Mihintale, Mihintale"
23,200000,City,Hot,Rosa Bus,"Jaffna City, Jaffna"
25,40000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
13,45000,City,Cool,Rosa Bus,"Nuwara Eliya City, Nuwara Eliya"
12,14000,Lakeside,Moderate,Van,"Handapanagala Lake, Wellawaya"
25,150000,Mountains,Warm,Public Transport,"Ritigala, Ritigala"
2,6000,National Park,Warm,Car,"Udawalawe National Park, Udawalawe"
25,180000,Historical Site,Moderate,Public Transport,"Kuttam Pokuna, Anuradhapura"
5,10500,Forest,Tropical,Public Transport,"Dunhinda Falls, Badulla"
11,18000,Beach,Warm,Van,"Hiriketiya Beach, Dickwella"
17,68000,National Park,Warm,Bikes,"Yala National Park, Yala"
17,70000,Mountains,Cool,Rosa Bus,"Demodara Loop, Ella"
10,44000,Historical Site,Moderate,Public Transport,"Aluvihare Rock Temple, Matale"
17,70000,Lakeside,Moderate,Rosa Bus,"Kandy Lake, Kandy"
25,65000,City,Moderate,Public Transport,"Galle City, Galle"
17,22000,Mountains,Cool,Rosa Bus,"Adam's Peak, Hatton"
3,10000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
9,200000,Forest,Tropical,Van,"Meemure, Kandy"
21,75000,Forest,Tropical,Bikes,"Meemure, Kandy"
14,190000,Mountains,Cool,Rosa Bus,"Demodara Loop, Ella"
20,140000,Forest,Tropical,Rosa Bus,"Bopath Ella, Kuruwita"
14,44000,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
20,55000,Forest,Tropical,Public Transport,"Meemure, Kandy"
9,33000,Historical Site,Moderate,Public Transport,"Kuttam Pokuna, Anuradhapura"
2,30000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
8,130000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
10,15000,City,Moderate,Rosa Bus,"Matara City, Matara"
12,24000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
21,45000,City,Moderate,Bikes,"Kandy City, Kandy"
17,120000,Historical Site,Moderate,Public Transport,"Dambulla Cave Temple, Dambulla"
18,180000,Historical Site,Moderate,Rosa Bus,"Thuparamaya, Anuradhapura"
2,30000,Mountains,Cool,Public Transport,"Ravana Falls, Ella"
16,160000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
7,80000,Mountains,Cool,Public Transport,"Nine Arches Bridge, Ella"
12,38000,Lakeside,Moderate,Bikes,"Kandy Lake, Kandy"
5,190000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
4,8000,Forest,Tropical,Public Transport,"Makandawa Forest Reserve, Kitulgala"
8,20000,Historical Site,Moderate,Van,"Galle Fort, Galle"
25,58000,National Park,Warm,Rosa Bus,"Gal Oya National Park, Ampara"
20,120000,Lakeside,Moderate,Bikes,"Bolgoda Lake, Colombo"
1,9000,Mountains,Cool,Bikes,"Lipton�s Seat, Haputale"
1,85000,Desert,Hot,Car,"Delft Island, Jaffna"
10,150000,Mountains,Cool,Van,"Adam's Peak, Hatton"
18,90000,National Park,Warm,Public Transport,"Hikkaduwa National Park, Hikkaduwa"
1,30000,Beach,Warm,Car,"Trincomalee Beach, Trincomalee"
12,100000,Historical Site,Moderate,Van,"Anuradhapura, Anuradhapura"
9,44000,Mountains,Cool,Public Transport,"Lipton�s Seat, Haputale"
10,19000,Historical Site,Moderate,Bikes,"Dambulla Cave Temple, Dambulla"
21,70000,National Park,Cool,Rosa Bus,"Galway�s Land National Park, Nuwara Eliya"
6,30000,Beach,Warm,Public Transport,"Jungle Beach, Unawatuna"
12,33000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
8,55000,Lakeside,Moderate,Van,"Parakrama Samudra, Polonnaruwa"
10,180000,Historical Site,Moderate,Bikes,"Kuttam Pokuna, Anuradhapura"
20,25000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
2,3300,Beach,Warm,Van,"Hiriketiya Beach, Dickwella"
2,75000,Mountains,Cool,Car,"Baker's Falls, Horton Plains"
17,110000,National Park,Warm,Public Transport,"Yala National Park, Yala"
10,130000,Historical Site,Moderate,Van,"Polonnaruwa, Polonnaruwa"
3,70000,National Park,Warm,Car,"Yala National Park, Yala"
14,190000,Mountains,Cool,Rosa Bus,"Ella Rock, Ella"
2,40000,National Park,Warm,Rosa Bus,"Wasgamuwa National Park, Wasgamuwa"
2,3100,Desert,Hot,Bikes,"Delft Island, Jaffna"
19,85000,Lakeside,Moderate,Bikes,"Kala Wewa, Anuradhapura"
2,35000,Desert,Hot,Car,"Delft Island, Jaffna"
25,170000,Mountains,Cool,Public Transport,"Demodara Loop, Ella"
14,60000,Forest,Tropical,Bikes,"Kanneliya Forest Reserve, Galle"
21,180000,National Park,Warm,Public Transport,"Gal Oya National Park, Ampara"
1,1300,Forest,Tropical,Van,"Makandawa Forest Reserve, Kitulgala"
6,200000,Desert,Hot,Bikes,"Delft Island, Jaffna"
24,40000,Mountains,Cool,Bikes,"Ella Rock, Ella"
19,200000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
20,50000,Historical Site,Moderate,Rosa Bus,"Galle Fort, Galle"
1,190000,Desert,Hot,Car,"Delft Island, Jaffna"
2,7000,National Park,Warm,Car,"Wilpattu National Park, Wilpattu"
18,190000,Lakeside,Moderate,Public Transport,"Madu River, Balapitiya"
1,180000,Beach,Warm,Bikes,"Hikkaduwa Beach, Hikkaduwa"
8,44000,National Park,Warm,Public Transport,"Wilpattu National Park, Wilpattu"
4,13000,Forest,Tropical,Car,"Hiyare Reservoir, Galle"
19,60000,Lakeside,Moderate,Bikes,"Kandy Lake, Kandy"
3,120000,National Park,Warm,Car,"Yala National Park, Yala"
3,12000,National Park,Warm,Van,"Wasgamuwa National Park, Wasgamuwa"
20,180000,City,Moderate,Rosa Bus,"Ratnapura City, Ratnapura"
25,190000,Beach,Warm,Rosa Bus,"Passekudah Beach, Passekudah"
1,45000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
22,160000,Forest,Tropical,Bikes,"Dunhinda Falls, Badulla"
1,1500,Forest,Tropical,Public Transport,"Makandawa Forest Reserve, Kitulgala"
8,170000,Forest,Tropical,Public Transport,"Kottawa Arboretum, Galle"
25,60000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
10,28000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
15,90000,Mountains,Cool,Rosa Bus,"Lipton�s Seat, Haputale"
4,20000,Forest,Tropical,Van,"Bopath Ella, Kuruwita"
25,44000,Lakeside,Moderate,Rosa Bus,"Sorabora Wewa, Mahiyanganaya"
2,180000,Beach,Warm,Bikes,"Mirissa Beach, Mirissa"
7,20000,Mountains,Cool,Rosa Bus,"Diyatalawa, Badulla"
15,190000,Mountains,Cool,Bikes,"Knuckles Mountain Range, Kandy"
11,70000,Desert,Hot,Bikes,"Delft Island, Jaffna"
7,19000,Historical Site,Moderate,Van,"Galle Fort, Galle"
8,90000,Forest,Tropical,Bikes,"Badulla Forest, Badulla"
3,3250,Desert,Hot,Van,"Delft Island, Jaffna"
8,110000,Forest,Tropical,Bikes,"Meemure, Kandy"
1,1400,National Park,Warm,Public Transport,"Hikkaduwa National Park, Hikkaduwa"
9,10500,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
15,85000,Beach,Warm,Rosa Bus,"Mirissa Beach, Mirissa"
13,28000,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
