Area of Interest,Origin,Destination,Preferred Climate,Number of Travelers,Budget (in LKR),Preferred Accommodation,Trip Duration (days),District
Wildlife,Badulla,"Pigeon Island National Park, Trincomalee",Warm,9,83000,4-star hotel,4,Trincomalee
Historical,Galle,"Sigiriya, Sigiriya",Warm,24,172000,2-star hotel,7,Matale
Wildlife,Puttalam,"Horton Plains National Park, Nuwara Eliya",Cool,12,69000,villa,4,Nuwara Eliya
Forest,Puttalam,"Knuckles Forest Reserve, Kandy",Tropical,17,213000,4-star hotel,7,Kandy
Wildlife,Nuwara Eliya,"Gal Oya National Park, Ampara",Warm,17,52000,2-star hotel,3,Ampara
Historical,Matara,"Kataragama Temple, Kataragama",Warm,17,45000,villa,2,Hambantota
Beach,Kalutara,"Dickwella Beach, Dickwella",Warm,9,6000,other,1,Matara
Wildlife,Mullaitivu,"Minneriya National Park, Polonnaruwa",Warm,7,32000,3-star hotel,3,Polonnaruwa
Beach,Jaffna,"Mount Lavinia Beach, Mount Lavinia",Warm,1,8000,2-star hotel,9,Colombo
Lakeside,Jaffna,"Madu River, Balapitiya",Moderate,9,51000,villa,4,Galle
Forest,Hambantota,"Makandawa Forest Reserve, Kitulgala",Tropical,17,78000,villa,4,Kegalle
Wildlife,Colombo,"Minneriya National Park, Polonnaruwa",Warm,12,37000,other,4,Polonnaruwa
Mountains,Monaragala,"Little Adam's Peak, Ella",Cool,22,163000,3-star hotel,7,Badulla
Lakeside,Puttalam,"Madu River, Balapitiya",Moderate,21,91000,camping,9,Galle
Lakeside,Matale,"Randenigala Dam, Kandy",Moderate,21,282000,5-star hotel,6,Kandy
Wildlife,Jaffna,"Hurulu Eco Park, Polonnaruwa",Warm,5,7000,camping,3,Polonnaruwa
Mountains,Badulla,"Kirigalpotta, Nuwara Eliya",Cool,19,96000,other,7,Nuwara Eliya
Historical,Gampaha,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,4,5000,other,2,Colombo
Wildlife,Galle,"Wilpattu National Park, Anuradhapura",Warm,23,200000,2-star hotel,8,Anuradhapura
Mountains,Badulla,"Baker's Falls, Horton Plains",Cool,12,104000,3-star hotel,6,Nuwara Eliya
Lakeside,Monaragala,"Tissa Wewa, Tissamaharama",Moderate,1,2000,3-star hotel,2,Hambantota
Lakeside,Galle,"Girithale Wewa, Polonnaruwa",Moderate,21,44000,5-star hotel,1,Polonnaruwa
Wildlife,Gampaha,"Yala National Park, Hambantota",Warm,14,287000,5-star hotel,8,Hambantota
Beach,Anuradhapura,"Hikkaduwa Beach, Hikkaduwa",Warm,13,146000,cottage,9,Galle
Wildlife,Gampaha,"Kumana National Park, Ampara",Warm,6,26000,2-star hotel,4,Ampara
Mountains,Ampara,"Hunas Falls, Kandy",Cool,7,9000,villa,1,Kandy
Wildlife,Monaragala,"Yala National Park, Hambantota",Warm,10,61000,other,8,Hambantota
Wildlife,Hambantota,"Gal Oya National Park, Ampara",Warm,21,75000,camping,7,Ampara
Mountains,Kalutara,"Adam's Peak, Hatton",Cool,8,24000,cottage,3,Nuwara Eliya
Lakeside,Kalutara,"Bolgoda Lake, Colombo",Moderate,6,11000,other,3,Colombo
Historical,Colombo,"Sri Maha Bodhi, Anuradhapura",Warm,4,19000,2-star hotel,5,Anuradhapura
Cultural,Kegalle,"Mihintale, Anuradhapura",Warm,22,220000,cottage,8,Anuradhapura
Forest,Jaffna,"Kithulgala Forest Reserve, Kegalle",Tropical,10,12000,other,2,Kegalle
Wildlife,Kalutara,"Bundala National Park, Hambantota",Warm,14,43000,guest houses,3,Hambantota
Lakeside,Kalutara,"Randenigala Dam, Kandy",Moderate,19,68000,camping,8,Kandy
Wildlife,Anuradhapura,"Gal Oya National Park, Ampara",Warm,24,332000,3-star hotel,9,Ampara
Historical,Kegalle,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,22,37000,2-star hotel,2,Colombo
Historical,Ratnapura,"Dambulla Cave Temple, Dambulla",Warm,15,87000,cottage,5,Matale
Beach,Matara,"Uppuveli Beach, Trincomalee",Warm,5,6000,2-star hotel,1,Trincomalee
Forest,Matara,"Kottawa Arboretum, Galle",Tropical,1,2000,camping,6,Galle
Beach,Kilinochchi,"Passekudah Beach, Passekudah",Warm,13,63000,2-star hotel,4,Batticaloa
Historical,Kandy,"Dambulla Cave Temple, Dambulla",Warm,20,358000,5-star hotel,8,Matale
Lakeside,Kandy,"Bolgoda Lake, Colombo",Moderate,2,29000,5-star hotel,7,Colombo
Mountains,Kalutara,"Little Adam's Peak, Ella",Cool,2,10000,guest houses,7,Badulla
Lakeside,Matale,"Beira Lake, Colombo",Moderate,19,26000,other,2,Colombo
Forest,Anuradhapura,"Kottawa Arboretum, Galle",Tropical,4,8000,guest houses,3,Galle
Forest,Kurunegala,"Dunhinda Falls, Badulla",Tropical,10,116000,4-star hotel,7,Badulla
Beach,Anuradhapura,"Trincomalee Beach, Trincomalee",Warm,11,38000,guest houses,3,Trincomalee
Forest,Batticaloa,"Kithulgala Forest Reserve, Kegalle",Tropical,21,44000,5-star hotel,1,Kegalle
Forest,Matara,"Badulla Forest, Badulla",Tropical,19,51000,camping,7,Badulla
Beach,Colombo,"Beruwala Beach, Beruwala",Warm,9,9000,guest houses,1,Kalutara
Lakeside,Matale,"Beira Lake, Colombo",Moderate,21,66000,camping,7,Colombo
Historical,Matara,"Anuradhapura Sacred City, Anuradhapura",Warm,11,41000,cottage,3,Anuradhapura
Mountains,Ampara,"Adam's Peak, Hatton",Cool,18,48000,camping,7,Nuwara Eliya
Beach,Kalutara,"Passekudah Beach, Passekudah",Warm,16,101000,cottage,4,Batticaloa
Cultural,Nuwara Eliya,"Yapahuwa Rock Fortress, Yapahuwa",Warm,8,23000,camping,7,Kurunegala
Forest,Kegalle,"Kottawa Arboretum, Galle",Tropical,18,38000,other,4,Galle
Historical,Nuwara Eliya,"Sri Maha Bodhi, Anuradhapura",Warm,5,6000,cottage,1,Anuradhapura
Beach,Puttalam,"Passekudah Beach, Passekudah",Warm,10,49000,camping,8,Batticaloa
Beach,Matara,"Trincomalee Beach, Trincomalee",Warm,7,36000,other,6,Trincomalee
Wildlife,Ratnapura,"Kaudulla National Park, Polonnaruwa",Warm,6,15000,5-star hotel,1,Polonnaruwa
Beach,Puttalam,"Arugam Bay, Ampara",Warm,2,3000,villa,1,Ampara
Beach,Jaffna,"Trincomalee Beach, Trincomalee",Warm,3,10000,camping,6,Trincomalee
Lakeside,Colombo,"Girithale Wewa, Polonnaruwa",Moderate,21,35000,4-star hotel,1,Polonnaruwa
Forest,Vavuniya,"Makandawa Forest Reserve, Kitulgala",Tropical,19,15000,camping,2,Kegalle
Forest,Nuwara Eliya,"Kottawa Arboretum, Galle",Tropical,2,25000,5-star hotel,7,Galle
Beach,Ampara,"Negombo Beach, Negombo",Warm,11,15000,other,2,Gampaha
Mountains,Gampaha,"Adam's Peak, Hatton",Cool,16,6000,camping,1,Nuwara Eliya
Forest,Batticaloa,"Kanneliya Forest Reserve, Galle",Tropical,14,112000,cottage,8,Galle
Wildlife,Kegalle,"Wasgomuwa National Park, Matale",Warm,19,102000,4-star hotel,3,Matale
Wildlife,Matara,"Kaudulla National Park, Polonnaruwa",Warm,15,307000,5-star hotel,8,Polonnaruwa
Historical,Matara,"Ruwanwelisaya, Anuradhapura",Warm,15,108000,3-star hotel,5,Anuradhapura
Beach,Trincomalee,"Dickwella Beach, Dickwella",Warm,7,50000,guest houses,8,Matara
Historical,Galle,"Isurumuniya, Anuradhapura",Warm,2,1000,camping,1,Anuradhapura
Mountains,Vavuniya,"Little Adam's Peak, Ella",Cool,13,59000,cottage,5,Badulla
Lakeside,Kilinochchi,"Parakrama Samudraya, Polonnaruwa",Moderate,4,30000,2-star hotel,9,Polonnaruwa
Wildlife,Anuradhapura,"Lunugamvehera National Park, Hambantota",Warm,12,12000,camping,2,Hambantota
Beach,Polonnaruwa,"Mount Lavinia Beach, Mount Lavinia",Warm,13,70000,3-star hotel,4,Colombo
Beach,Kilinochchi,"Hiriketiya Beach, Dickwella",Warm,7,27000,camping,8,Matara
Mountains,Vavuniya,"Horton Plains National Park, Nuwara Eliya",Cool,9,69000,4-star hotel,4,Nuwara Eliya
Historical,Mannar,"Isurumuniya, Anuradhapura",Warm,1,2000,4-star hotel,1,Anuradhapura
Mountains,Matara,"Baker's Falls, Horton Plains",Cool,2,17000,cottage,7,Nuwara Eliya
Lakeside,Vavuniya,"Victoria Reservoir, Kandy",Moderate,18,258000,4-star hotel,8,Kandy
Forest,Puttalam,"Kanneliya Forest Reserve, Galle",Tropical,15,69000,4-star hotel,3,Galle
Historical,Kalutara,"Isurumuniya, Anuradhapura",Warm,2,7000,camping,7,Anuradhapura
Forest,Nuwara Eliya,"Kanneliya Forest Reserve, Galle",Tropical,15,17000,3-star hotel,1,Galle
Forest,Kalutara,"Hiyare Reservoir, Galle",Tropical,17,108000,guest houses,9,Galle
Mountains,Mullaitivu,"Little Adam's Peak, Ella",Cool,3,11000,5-star hotel,2,Badulla
Lakeside,Colombo,"Kantale Lake, Trincomalee",Moderate,17,46000,camping,7,Trincomalee
Lakeside,Badulla,"Bolgoda Lake, Colombo",Moderate,5,25000,4-star hotel,3,Colombo
Beach,Anuradhapura,"Weligama Beach, Weligama",Warm,9,156000,4-star hotel,9,Matara
Wildlife,Monaragala,"Yala National Park, Hambantota",Warm,22,101000,3-star hotel,3,Hambantota
Historical,Nuwara Eliya,"Sigiriya, Sigiriya",Warm,13,27000,4-star hotel,1,Matale
Mountains,Kurunegala,"Lipton’s Seat, Haputale",Cool,23,85000,other,7,Badulla
Forest,Gampaha,"Makandawa Forest Reserve, Kitulgala",Tropical,23,53000,3-star hotel,2,Kegalle
Forest,Ampara,"Kottawa Arboretum, Galle",Tropical,21,118000,guest houses,8,Galle
Mountains,Monaragala,"Horton Plains National Park, Nuwara Eliya",Cool,24,104000,other,6,Nuwara Eliya
Historical,Galle,"Sri Maha Bodhi, Anuradhapura",Warm,13,19000,villa,1,Anuradhapura
Historical,Kalutara,"Thuparamaya, Anuradhapura",Warm,16,23000,other,2,Anuradhapura
Mountains,Jaffna,"Knuckles Mountain Range, Kandy",Cool,4,25000,3-star hotel,5,Kandy
Wildlife,Trincomalee,"Sinharaja Forest Reserve, Galle",Warm,13,52000,camping,9,Galle
Historical,Gampaha,"Munneswaram Temple, Chilaw",Warm,4,15000,guest houses,5,Puttalam
Lakeside,Colombo,"Victoria Dam, Kandy",Moderate,9,16000,guest houses,2,Kandy
Lakeside,Mullaitivu,"Koggala Lake, Koggala",Moderate,19,71000,villa,3,Galle
Lakeside,Polonnaruwa,"Kantale Lake, Trincomalee",Moderate,20,160000,villa,7,Trincomalee
Historical,Nuwara Eliya,"Yapahuwa Rock Fortress, Yapahuwa",Warm,23,48000,camping,5,Kurunegala
Cultural,Polonnaruwa,"Kataragama Temple, Kataragama",Warm,15,157000,cottage,9,Hambantota
Beach,Kilinochchi,"Bentota Beach, Bentota",Warm,20,98000,other,6,Kalutara
Forest,Vavuniya,"Sinharaja Forest Reserve, Deniyaya",Tropical,10,72000,2-star hotel,8,Matara
Lakeside,Vavuniya,"Kala Wewa, Anuradhapura",Moderate,19,131000,guest houses,9,Anuradhapura
Wildlife,Mullaitivu,"Wilpattu National Park, Anuradhapura",Warm,20,259000,villa,8,Anuradhapura
Cultural,Nuwara Eliya,"Abhayagiri Dagaba, Anuradhapura",Warm,16,40000,cottage,2,Anuradhapura
Wildlife,Trincomalee,"Sinharaja Forest Reserve, Galle",Warm,11,29000,villa,2,Galle
Beach,Gampaha,"Polhena Beach, Matara",Warm,16,14000,guest houses,1,Matara
Lakeside,Matale,"Girithale Wewa, Polonnaruwa",Moderate,7,58000,4-star hotel,5,Polonnaruwa
Historical,Jaffna,"Lovamahapaya, Anuradhapura",Warm,21,10000,camping,1,Anuradhapura
Lakeside,Matale,"Madu River, Balapitiya",Moderate,6,17000,camping,6,Galle
Wildlife,Ratnapura,"Gal Oya National Park, Ampara",Warm,6,31000,guest houses,5,Ampara
Lakeside,Kandy,"Beira Lake, Colombo",Moderate,14,168000,villa,9,Colombo
Mountains,Nuwara Eliya,"Ravana Falls, Ella",Cool,13,81000,villa,5,Badulla
Wildlife,Ratnapura,"Wasgomuwa National Park, Matale",Warm,6,54000,4-star hotel,5,Matale
Wildlife,Kurunegala,"Gal Oya National Park, Ampara",Warm,9,60000,cottage,5,Ampara
Cultural,Ampara,"Galle Fort, Galle",Warm,15,220000,3-star hotel,9,Galle
Beach,Colombo,"Tangalle Beach, Tangalle",Warm,18,389000,5-star hotel,9,Hambantota
Beach,Matale,"Beruwala Beach, Beruwala",Warm,18,17000,2-star hotel,1,Kalutara
Wildlife,Kalutara,"Wilpattu National Park, Anuradhapura",Warm,17,277000,5-star hotel,6,Anuradhapura
Historical,Matara,"Yapahuwa Rock Fortress, Yapahuwa",Warm,11,18000,2-star hotel,2,Kurunegala
Mountains,Nuwara Eliya,"Ella Rock, Ella",Cool,16,98000,4-star hotel,4,Badulla
Wildlife,Kandy,"Gal Oya National Park, Ampara",Warm,8,6000,other,1,Ampara
Lakeside,Anuradhapura,"Beira Lake, Colombo",Moderate,19,68000,camping,8,Colombo
Mountains,Kegalle,"Hunas Falls, Kandy",Cool,24,224000,cottage,8,Kandy
Historical,Colombo,"Dambulla Cave Temple, Dambulla",Warm,5,7000,camping,3,Matale
Forest,Colombo,"Hiyare Reservoir, Galle",Tropical,17,54000,other,6,Galle
Beach,Batticaloa,"Uppuveli Beach, Trincomalee",Warm,8,69000,villa,5,Trincomalee
Wildlife,Gampaha,"Wasgomuwa National Park, Matale",Warm,18,192000,villa,8,Matale
Cultural,Anuradhapura,"Munneswaram Temple, Chilaw",Warm,17,20000,other,2,Puttalam
Cultural,Polonnaruwa,"Isurumuniya, Anuradhapura",Warm,6,9000,camping,3,Anuradhapura
Cultural,Matale,"Mihintale, Anuradhapura",Warm,3,4000,camping,3,Anuradhapura
Historical,Mullaitivu,"Polonnaruwa Ruins, Polonnaruwa",Warm,10,47000,other,7,Polonnaruwa
Beach,Mannar,"Bentota Beach, Bentota",Warm,15,131000,guest houses,8,Kalutara
Lakeside,Puttalam,"Randenigala Dam, Kandy",Moderate,15,108000,guest houses,8,Kandy
Historical,Kegalle,"Jethawanaramaya, Anuradhapura",Warm,16,108000,guest houses,7,Anuradhapura
Lakeside,Nuwara Eliya,"Sembuwatta Lake, Matale",Moderate,15,242000,4-star hotel,9,Matale
Wildlife,Galle,"Kaudulla National Park, Polonnaruwa",Warm,20,256000,5-star hotel,5,Polonnaruwa
Beach,Kegalle,"Trincomalee Beach, Trincomalee",Warm,6,41000,4-star hotel,3,Trincomalee
Cultural,Kalutara,"Temple of the Tooth, Kandy",Moderate,23,165000,guest houses,8,Kandy
Mountains,Galle,"Ella Rock, Ella",Cool,1,1000,camping,2,Badulla
Lakeside,Monaragala,"Gal Oya, Ampara",Moderate,15,150000,3-star hotel,8,Ampara
Lakeside,Polonnaruwa,"Kantale Lake, Trincomalee",Moderate,3,21000,villa,6,Trincomalee
Mountains,Trincomalee,"Devon Falls, Nuwara Eliya",Cool,3,24000,cottage,7,Nuwara Eliya
Lakeside,Matara,"Handapanagala Lake, Wellawaya",Moderate,4,21000,5-star hotel,3,Monaragala
Wildlife,Kegalle,"Lunugamvehera National Park, Hambantota",Warm,10,43000,camping,9,Hambantota
Mountains,Kandy,"Baker's Falls, Horton Plains",Cool,21,40000,4-star hotel,1,Nuwara Eliya
Cultural,Vavuniya,"Polonnaruwa Ruins, Polonnaruwa",Warm,22,39000,guest houses,2,Polonnaruwa
Lakeside,Galle,"Kandy Lake, Kandy",Moderate,15,194000,3-star hotel,9,Kandy
Forest,Mullaitivu,"Makandawa Forest Reserve, Kitulgala",Tropical,11,84000,5-star hotel,4,Kegalle
Wildlife,Kilinochchi,"Gal Oya National Park, Ampara",Warm,10,120000,cottage,9,Ampara
Lakeside,Galle,"Gal Oya, Ampara",Moderate,8,40000,3-star hotel,4,Ampara
Historical,Kegalle,"Temple of the Tooth, Kandy",Moderate,13,186000,4-star hotel,8,Kandy
Wildlife,Mullaitivu,"Wasgamuwa National Park, Matale",Warm,2,1000,other,1,Matale
Forest,Kilinochchi,"Dunhinda Falls, Badulla",Tropical,9,135000,4-star hotel,9,Badulla
Lakeside,Ampara,"Girithale Wewa, Polonnaruwa",Moderate,7,52000,villa,6,Polonnaruwa
Mountains,Hambantota,"Ravana Falls, Ella",Cool,1,8000,4-star hotel,5,Badulla
Lakeside,Kilinochchi,"Victoria Reservoir, Kandy",Moderate,6,32000,villa,4,Kandy
Lakeside,Colombo,"Victoria Dam, Kandy",Moderate,2,7000,other,5,Kandy
Wildlife,Kurunegala,"Minneriya National Park, Polonnaruwa",Warm,6,40000,cottage,5,Polonnaruwa
Historical,Hambantota,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,12,75000,3-star hotel,5,Colombo
Historical,Ampara,"Polonnaruwa Ruins, Polonnaruwa",Warm,20,23000,cottage,1,Polonnaruwa
Cultural,Nuwara Eliya,"Galle Fort, Galle",Warm,2,2000,camping,2,Galle
Lakeside,Matara,"Handapanagala Lake, Wellawaya",Moderate,11,155000,5-star hotel,8,Monaragala
Historical,Trincomalee,"Anuradhapura Sacred City, Anuradhapura",Warm,2,6000,camping,6,Anuradhapura
Historical,Mannar,"Thuparamaya, Anuradhapura",Warm,12,135000,cottage,9,Anuradhapura
Lakeside,Kandy,"Kala Wewa, Anuradhapura",Moderate,20,154000,5-star hotel,4,Anuradhapura
Wildlife,Colombo,"Pigeon Island National Park, Trincomalee",Warm,9,83000,4-star hotel,4,Trincomalee
Cultural,Ampara,"Anuradhapura Sacred City, Anuradhapura",Warm,4,15000,cottage,3,Anuradhapura
Beach,Trincomalee,"Unawatuna Beach, Galle",Warm,2,6000,camping,6,Galle
Mountains,Vavuniya,"Knuckles Mountain Range, Matale",Cool,2,25000,5-star hotel,6,Matale
Mountains,Kalutara,"Pidurangala, Sigiriya",Warm,11,23000,camping,6,Matale
Beach,Polonnaruwa,"Mount Lavinia Beach, Mount Lavinia",Warm,19,128000,3-star hotel,5,Colombo
Mountains,Nuwara Eliya,"Knuckles Mountain Range, Matale",Cool,24,182000,cottage,7,Matale
Lakeside,Gampaha,"Victoria Dam, Kandy",Moderate,4,16000,camping,9,Kandy
Historical,Batticaloa,"Temple of the Tooth, Kandy",Moderate,22,205000,cottage,8,Kandy
Lakeside,Monaragala,"Beira Lake, Colombo",Moderate,20,90000,5-star hotel,2,Colombo
Mountains,Kegalle,"Ravana Falls, Ella",Cool,18,37000,5-star hotel,1,Badulla
Forest,Galle,"Sinharaja Forest Reserve, Deniyaya",Tropical,24,161000,5-star hotel,3,Matara
Cultural,Mullaitivu,"Kataragama Temple, Kataragama",Warm,2,16000,villa,6,Hambantota
Wildlife,Kandy,"Kaudulla National Park, Polonnaruwa",Warm,9,12000,cottage,1,Polonnaruwa
Lakeside,Badulla,"Kantale Lake, Trincomalee",Moderate,16,128000,villa,7,Trincomalee
Mountains,Galle,"Adam's Peak, Hatton",Cool,24,192000,cottage,8,Nuwara Eliya
Wildlife,Mannar,"Wasgomuwa National Park, Matale",Warm,22,39000,2-star hotel,2,Matale
Cultural,Polonnaruwa,"Gangaramaya Temple, Colombo",Warm,16,13000,camping,2,Colombo
Historical,Polonnaruwa,"Munneswaram Temple, Chilaw",Warm,22,270000,4-star hotel,8,Puttalam
Wildlife,Kegalle,"Wasgamuwa National Park, Matale",Warm,11,89000,2-star hotel,9,Matale
Historical,Gampaha,"Sri Maha Bodhi, Anuradhapura",Warm,24,207000,3-star hotel,6,Anuradhapura
Cultural,Matale,"Ambuluwawa Temple, Gampola",Moderate,2,5000,3-star hotel,2,Kandy
Wildlife,Mannar,"Wilpattu National Park, Anuradhapura",Warm,23,438000,5-star hotel,7,Anuradhapura
Cultural,Jaffna,"Dambulla Cave Temple, Dambulla",Warm,21,252000,villa,9,Matale
Cultural,Matara,"Abhayagiri Dagaba, Anuradhapura",Warm,21,131000,cottage,5,Anuradhapura
Beach,Kilinochchi,"Hikkaduwa Beach, Hikkaduwa",Warm,19,182000,4-star hotel,5,Galle
Forest,Mannar,"Namal Oya Forest, Ampara",Tropical,13,81000,villa,5,Ampara
Beach,Kilinochchi,"Arugam Bay, Ampara",Warm,22,63000,5-star hotel,1,Ampara
Mountains,Galle,"Kirigalpotta, Nuwara Eliya",Cool,6,12000,camping,4,Nuwara Eliya
Wildlife,Nuwara Eliya,"Kumana National Park, Ampara",Warm,7,27000,camping,7,Ampara
Cultural,Kurunegala,"Munneswaram Temple, Chilaw",Warm,19,117000,4-star hotel,4,Puttalam
Beach,Jaffna,"Jungle Beach, Unawatuna",Warm,16,197000,4-star hotel,6,Galle
Cultural,Gampaha,"Ruwanwelisaya, Anuradhapura",Warm,22,42000,guest houses,2,Anuradhapura
Historical,Trincomalee,"Isurumuniya, Anuradhapura",Warm,10,19000,guest houses,2,Anuradhapura
Forest,Vavuniya,"Dunhinda Falls, Badulla",Tropical,9,11000,camping,3,Badulla
Cultural,Nuwara Eliya,"Ambuluwawa Temple, Gampola",Moderate,18,194000,4-star hotel,6,Kandy
Wildlife,Galle,"Pigeon Island National Park, Trincomalee",Warm,1,14000,4-star hotel,6,Trincomalee
Lakeside,Matara,"Girithale Wewa, Polonnaruwa",Moderate,14,70000,2-star hotel,6,Polonnaruwa
Wildlife,Polonnaruwa,"Pigeon Island National Park, Trincomalee",Warm,11,63000,2-star hotel,5,Trincomalee
Historical,Ratnapura,"Ruwanwelisaya, Anuradhapura",Warm,7,50000,3-star hotel,5,Anuradhapura
Historical,Matara,"Ambuluwawa Temple, Gampola",Moderate,7,19000,2-star hotel,3,Kandy
Mountains,Mullaitivu,"Baker's Falls, Horton Plains",Cool,11,94000,villa,6,Nuwara Eliya
Forest,Trincomalee,"Hiyare Reservoir, Galle",Tropical,16,117000,cottage,8,Galle
Beach,Gampaha,"Beruwala Beach, Beruwala",Warm,6,6000,camping,2,Kalutara
Mountains,Vavuniya,"Demodara Loop, Ella",Cool,1,7000,2-star hotel,9,Badulla
Mountains,Ampara,"Kalupahana, Badulla",Cool,9,36000,other,7,Badulla
Historical,Hambantota,"Thuparamaya, Anuradhapura",Warm,11,79000,3-star hotel,5,Anuradhapura
Historical,Galle,"Ambuluwawa Temple, Gampola",Moderate,7,33000,cottage,4,Kandy
Wildlife,Galle,"Minneriya National Park, Polonnaruwa",Warm,11,23000,2-star hotel,2,Polonnaruwa
Lakeside,Kalutara,"Sorabora Wewa, Mahiyanganaya",Moderate,1,5000,other,9,Badulla
Historical,Kilinochchi,"Sigiriya, Sigiriya",Warm,18,165000,villa,6,Matale
Beach,Badulla,"Marble Beach, Trincomalee",Warm,15,204000,5-star hotel,5,Trincomalee
Forest,Batticaloa,"Namal Oya Forest, Ampara",Tropical,6,15000,camping,6,Ampara
Mountains,Jaffna,"Knuckles Mountain Range, Kandy",Cool,10,83000,4-star hotel,5,Kandy
Beach,Galle,"Rekawa Beach, Hambantota",Warm,19,43000,5-star hotel,1,Hambantota
Wildlife,Mullaitivu,"Bundala National Park, Hambantota",Warm,5,23000,villa,3,Hambantota
Wildlife,Kilinochchi,"Kumana National Park, Ampara",Warm,2,3000,3-star hotel,1,Ampara
Historical,Monaragala,"Jethawanaramaya, Anuradhapura",Warm,2,17000,villa,6,Anuradhapura
Forest,Jaffna,"Meemure, Kandy",Tropical,16,87000,cottage,5,Kandy
Mountains,Kandy,"Baker's Falls, Horton Plains",Cool,3,4000,cottage,1,Nuwara Eliya
Forest,Kegalle,"Badulla Forest, Badulla",Tropical,14,126000,cottage,9,Badulla
Beach,Gampaha,"Tangalle Beach, Tangalle",Warm,2,6000,3-star hotel,2,Hambantota
Mountains,Kegalle,"Demodara Loop, Ella",Cool,13,15000,camping,3,Badulla
Historical,Kandy,"Thuparamaya, Anuradhapura",Warm,20,144000,5-star hotel,3,Anuradhapura
Lakeside,Polonnaruwa,"Sembuwatta Lake, Matale",Moderate,22,89000,3-star hotel,3,Matale
Mountains,Badulla,"Pidurangala, Sigiriya",Warm,21,185000,5-star hotel,5,Matale
Wildlife,Puttalam,"Lunugamvehera National Park, Hambantota",Warm,23,55000,camping,5,Hambantota
Beach,Kegalle,"Tangalle Beach, Tangalle",Warm,4,67000,5-star hotel,7,Hambantota
Forest,Kegalle,"Dunhinda Falls, Badulla",Tropical,12,15000,other,2,Badulla
Beach,Ratnapura,"Hikkaduwa Beach, Hikkaduwa",Warm,4,2000,camping,1,Galle
Wildlife,Colombo,"Wasgomuwa National Park, Matale",Warm,20,18000,guest houses,1,Matale
Beach,Kurunegala,"Dickwella Beach, Dickwella",Warm,18,40000,5-star hotel,1,Matara
Lakeside,Kilinochchi,"Victoria Reservoir, Kandy",Moderate,10,93000,cottage,8,Kandy
Forest,Matale,"Makandawa Forest Reserve, Kitulgala",Tropical,10,23000,guest houses,3,Kegalle
Cultural,Kalutara,"Sri Maha Bodhi, Anuradhapura",Warm,16,77000,guest houses,5,Anuradhapura
Mountains,Colombo,"Adam's Peak, Hatton",Cool,22,203000,4-star hotel,6,Nuwara Eliya
Wildlife,Mannar,"Wasgomuwa National Park, Matale",Warm,5,13000,3-star hotel,2,Matale
Mountains,Ratnapura,"Kalupahana, Badulla",Cool,5,20000,other,7,Badulla
Beach,Mullaitivu,"Hikkaduwa Beach, Hikkaduwa",Warm,17,73000,villa,3,Galle
Historical,Polonnaruwa,"Munneswaram Temple, Chilaw",Warm,10,12000,other,2,Puttalam
Forest,Anuradhapura,"Badulla Forest, Badulla",Tropical,19,29000,guest houses,2,Badulla
